Item offline;multiplikator;Item online;American;British
a drop in the ocean -;-1;[a drop in the ocean|a drop in the bucket];A drop in the bucket;A drop in the ocean
a tap;1;[a faucet|a tap];A faucet;A tap
aluminium;1;[aluminum|aluminium];Aluminum;Aluminium
anticlockwise -;-1;[anticlockwise|counterclockwise];Counterclockwise;Anticlockwise
aubergine;1;[eggplant|aubergine];Eggplant;Aubergine
autumn;1;[fall|autumn];Fall;Autumn
backwards;1;[backward|backwards];Backward;Backwards
bicentenary -;-1;[bicentenary|bicentennial];Bicentennial;Bicentenary
biscuit;1;[cookie|biscuit];Cookie;Biscuit
bookings -;-1;[bookings|reservations];Reservations;Bookings
boot;1;[trunk|boot];Trunk;Boot
car park -;-1;[car park|parking lot];Parking lot;Car park
centre;1;[center|centre];Center;Centre
chemist's -;-1;[chemist's|drugstore/drug store];Drugstore/drug store;Chemist's
ill -;-1;[ill|sick];Sick;Ill
potato chips;1;[French fries|potato chips];French fries;Potato chips
chips;1;[fries|chips];Fries;Chips
cinema -;-1;[cinema|movie theater];Movie theater;Cinema
colour;1;[color|colour];Color;Colour
cupboard -;-1;[cupboard|closet];Closet;Cupboard
driving licence;1;[driver's license|driving licence];Driver's license;Driving licence
dummy -;-1;[dummy|pacifier];Pacifier;Dummy
dustbin;1;[trash can|dustbin];Trash can;Dustbin
fish fingers -;-1;[fish fingers|fish sticks];Fish sticks;Fish fingers
football;1;[soccer|football];Soccer;Football
forwards -;-1;[forwards|forward];Forward;Forwards
globalisation;1;[globalization|globalisation];Globalization;Globalisation
glocalisation -;-1;[glocalisation|glocalization];Glocalization;Glocalisation
holiday;1;[vacation|holiday];Vacation;Holiday
liberalisation;1;[liberalization|liberalisation];Liberalization;Liberalisation
jacket potato;1;[baked potato|jacket potato];Baked potato;Jacket potato
laund(e)rette -;-1;[laund(e)rette|laundromat];Laundromat;Laund(e)rette
potato crisps -;-1;[potato crisps|potato chips];Potato chips;Potato crisps
crisps -;-1;[crisps|chips];Chips;Crisps
to licence -;-1;[to licence|to license];To license;To licence
lift;1;[elevator|lift];Elevator;Lift
localisation -;-1;[localisation|localization];Localization;Localisation
lorry;1;[truck|lorry];Truck;Lorry
maths -;-1;[maths|math];Math;Maths
mobile phone;1;[cell phone|mobile phone];Cell phone;Mobile phone
modernisation -;-1;[modernisation|modernization];Modernization;Modernisation
nappies;1;[diapers|nappies];Diapers;Nappies
organisation -;-1;[organisation|organization];Organization;Organisation
parcel;1;[package|parcel];Package;Parcel
pavement -;-1;[pavement|sidewalk];Sidewalk;Pavement
petrol;1;[gasoline|petrol];Gasoline;Petrol
petrol station -;-1;[petrol station|gas station];Gas station;Petrol station
postman;1;[mailman|postman];Mailman;Postman
pushchair -;-1;[pushchair|stroller];Stroller;Pushchair
railway;1;[railroad|railway];Railroad;Railway
realisation -;-1;[realisation|realization];Realization;Realisation
roundabout;1;[traffic circle|roundabout];Traffic circle;Roundabout
rubber -;-1;[rubber|eraser];Eraser;Rubber
shopping trolley -;-1;[shopping trolley|shopping cart];Shopping cart;Shopping trolley
sport;1;[sports|sport];Sports;Sport
storm in a teacup -;-1;[storm in a teacup|tempest in a teapot];Tempest in a teapot;Storm in a teacup
subway;1;[underpass|subway];Underpass;Subway
to let -;-1;[to let|for rent];For rent;To let
torch;1;[flashlight|torch];Flashlight;Torch
touch wood -;-1;[touch wood|knock on wood];Knock on wood;Touch wood
trainers;1;[sneakers|trainers];Sneakers;Trainers
whilst -;-1;[whilst|while];While;Whilst
windscreen;1;[windshield|windscreen];Windshield;Windscreen
a book about chemistry -;-1;[a book about chemistry|a book on chemistry];A book on chemistry;A book about chemistry
compare X to Y -;-1;[compare X to Y|compare X with Y];Compare X with Y;Compare X to Y
typical of -;-1;[typical of|typical for];Typical for;Typical of
Anyway;1;[Anyways, ...|Anyway, ...];Anyways, ...;Anyway, ...
rubbish;1;[Trash|Rubbish];Trash;Rubbish
